drug_name,num_prescriber,total_cost
FIORINAL WITH CODEINE #3,61,680858.8599999999
LORAZEPAM INTENSOL,608,399750.8100000001
AMRIX,148,2237689.359999999
YERVOY,1,362637.93
DERMASORB TA,1,9576.44
NICOTROL NS,218,1399037.2100000004
CARVEDILOL,173263,112765373.45000054
PERPHENAZINE,8437,21280327.889999967
VERAPAMIL HCL,12092,6136280.219999968
XYZAL,75,105534.62
ZOLEDRONIC ACID,154,1567339.4700000004
EXTINA,2,14410.41
ACCOLATE,38,94471.87000000002
COMBIPATCH,500,1090961.2600000005
DEXTROAMPHETAMINE SULFATE ER,1661,7076396.800000002
DECITABINE,3,366787.51
ATRALIN,3,15528.829999999998
CEFTIN,6,59183.630000000005
OCELLA,200,127637.42999999995
BUTISOL SODIUM,24,69254.0
TRANDOLAPRIL-VERAPAMIL ER,17,29625.4
FLUCONAZOLE,67484,27356169.010000236
OMECLAMOX-PAK,1,16728.29
DEPAKOTE ER,1754,13125291.819999982
HYDROCORTISONE VALERATE,3023,11049184.60999999
TREANDA,9,1064190.22
OB COMPLETE,2,1788.14
QNASL,639,2105513.780000001
TOUJEO SOLOSTAR,2020,24661337.79999995
DILANTIN,9384,14547893.40999997
CHLORZOXAZONE,1615,918938.1900000006
VIRT-PN PLUS,2,1334.74
AZASAN,31,137352.62
ADDERALL,163,884081.8699999999
MYRBETRIQ,20472,258842976.85999945
ATACAND HCT,150,257411.92999999993
VALSARTAN,93265,275913087.44999903
VIRT-VITE GT,8,0.31999999999999995
PREMPRO,6369,16987945.930000085
XYLOCAINE,1,915.29
FAMVIR,10,132608.98
HUMALOG KWIKPEN U-200,17,251780.94
PRENATA,1,169.24
AZACTAM,14,133179.03
TIROSINT,1047,2792927.1600000025
CARBOPLATIN,112,169828.44000000003
SOLU-MEDROL,246,131471.04000000007
LEUKINE,31,6779668.32
VGO 20,274,1646205.9399999992
PEN NEEDLE,2760,827747.5600000008
MEGACE ES,220,3550419.7299999995
AMINOCAPROIC ACID,31,253285.19
HUMULIN 70/30 KWIKPEN,2767,26580765.739999942
OB COMPLETE ONE,1,1780.63
FARXIGA,3086,23545876.850000016
NIASPAN,382,1452700.6799999992
FENOFIBRIC ACID,16768,47306090.57000054
LOTRONEX,148,4831285.9799999995
IMIPRAMINE HCL,9862,4093015.510000032
EYLEA,66,4779046.810000001
VICTOZA 2-PAK,9576,100364038.84999992
XYLON 10,1,2862.85
PRIMIDONE,28242,16225381.579999955
E.E.S. 400,23,116711.90000000001
SODIUM PHENYLBUTYRATE,4,643597.1599999999
EASY TOUCH,1330,558043.6500000006
LO LOESTRIN FE,90,121663.78999999998
TRI-LEGEST FE,36,21874.169999999995
ORPHENADRINE CITRATE,2173,1379020.9500000002
LEVEMIR FLEXTOUCH,56846,1042621307.9299984
LOPERAMIDE,12631,5922553.390000021
CILOXAN,111,347905.25
PAXIL CR,326,869676.4000000005
PRODIGY INSULIN SYRINGE,12,3221.5000000000005
ONFI,1563,46918645.56000007
LITHIUM CARBONATE ER,11925,6336986.7499999935
NIFEDIPINE ER,65008,85185081.55999932
HALOBETASOL PROPIONATE,2311,9475402.649999999
LEVETIRACETAM ER,2878,5590991.649999994
BUPIVACAINE HCL,5,1512.1299999999999
PROLASTIN C,684,103855972.15
DEXTROSE 5%-POTASSIUM CHLORIDE,1,166.11
APTIVUS,111,2162529.69
CANTIL,10,28514.41
LISINOPRIL,257492,249019386.22000003
TRI-LINYAH,291,52131.110000000015
DIPHENHYDRAMINE HCL,781,432525.75999999995
CHLORPROMAZINE HCL,7852,86076582.46000013
SANDOSTATIN LAR DEPOT,40,3371511.9399999995
HYDROMORPHONE HCL,25651,23150752.92
GLUCOTROL XL,180,180251.16000000003
NORPACE,9,35415.08
NOVOLIN N,10921,44329413.179999985
BICNU,1,37983.28
ANGELIQ,23,35229.87
TROPHAMINE,1,1885.11
PYRIDOSTIGMINE BROMIDE ER,24,305018.76999999996
IRBESARTAN-HYDROCHLOROTHIAZIDE,9094,7068682.270000029
MOXIFLOXACIN HCL,2450,5365105.0899999915
PROPRANOLOL-HYDROCHLOROTHIAZID,297,150361.5200000001
POTASSIUM CHL-NORMAL SALINE,21,38585.03
JENCYCLA,25,3068.13
LEXAPRO,1873,6934144.329999997
ZYLOPRIM,25,35009.869999999995
LASTACAFT,669,2409850.71
CLOMIPHENE CITRATE,1,306.47
RECLIPSEN,179,41741.04999999998
ZIOPTAN,1863,7715189.49999999
LOPID,3,6984.780000000001
DEPACON,1,55314.48
SILVER SULFADIAZINE,7759,5018966.139999987
TABLOID,10,95871.68
CLOBETASOL EMULSION,9,72547.37999999999
SPRIX,1,15572.03
SSD,3161,1488569.0299999972
ADAPALENE,80,221295.04000000007
RIBASPHERE,318,1012225.2599999998
MYCOBUTIN,8,81324.97
SUBSYS,359,136848769.63999993
ERTACZO,6,51523.47
TEFLARO,124,3045754.520000001
COLCRYS,16030,81647185.16999954
IMIPRAMINE PAMOATE,246,1024453.1900000001
GLYCOPYRROLATE,4406,4785191.31000001
CLOBEX,21,247545.1
ZYKADIA,40,5563841.789999999
MUSTARGEN,2,16023.739999999998
ALPHAGAN P,15482,148989363.74000052
GAVILYTE-C,2196,2124611.970000002
INSUMED,3,1360.8999999999999
ARANESP,1149,29866872.26999998
FML,17,34151.49
EVOXAC,83,463642.41000000015
TRIANEX,1,10417.68
INDAPAMIDE,12246,4916845.879999995
PROCARDIA XL,194,508067.24999999994
ERYPED 200,121,1803771.4599999993
FENOFIBRATE,95892,348204725.03000253
GASTROCROM,4,104411.52
VIEKIRA PAK,134,76476353.14
NEPHPLEX RX,3,851.63
ELIQUIS,45473,782329758.3300073
RIFABUTIN,134,1193979.8199999994
TRANSDERM-SCOP,3932,10711552.24000001
OMNARIS,164,524283.4499999999
PEGINTRON,2,53798.810000000005
LEVOFLOXACIN-D5W,215,172170.08999999997
PARAFON FORTE DSC,1,2694.51
CARTEOLOL HCL,509,213585.23000000007
ALORA,140,148201.32999999996
DIABETA,9,18667.08
RECOMBIVAX HB,2,1701.57
EPANED,4,19610.520000000004
MYCOPHENOLIC ACID,640,8730933.270000007
AVYCAZ,3,106112.34
COSENTYX (2 SYRINGES),3,334835.72
MECLOFENAMATE SODIUM,24,134729.28000000003
BETAMETHASONE DIPROPIONATE,11785,23481941.25000002
METHYLDOPA,1210,323217.31999999995
VUSION,7,60313.8
ALIMTA,44,3937567.0400000005
TOBI,1,61770.5
NABUMETONE,22258,16108784.709999975
HYDROCODONE BT-HOMATROPINE MBR,1,456.57
ZAFIRLUKAST,3478,5641478.419999984
ENSKYCE,59,9086.81
K-TAB ER,4704,7228028.410000006
ARZERRA,1,189011.04
VANCOMYCIN,90,82306.27999999997
CLINDAMYCIN PHOS-BENZOYL PEROX,19,41941.05
BETAMETHASONE ACETATE-SOD PHOS,11,10408.11
NAFTIN,462,4451692.239999998
SOLIRIS,25,11491590.7
MYCAMINE,70,1510781.1999999993
ALCOHOL PREP SWABS,78,7967.280000000001
BENTYL,18,23873.78
XIAFLEX,2,135834.32
HYDROXYUREA,9381,8936958.29999998
000",211,446807.6299999999
CYSTAGON,5,17443.120000000003
CENTANY AT,1,2317.1
QUDEXY XR,14,152881.91999999998
RISEDRONATE SODIUM DR,763,3558871.7300000074
VANISHPOINT,41,68851.86000000002
AUBAGIO,1227,247741626.56000015
MIACALCIN,51,2910766.9000000004
PRIFTIN,4,3197.31
LYRICA,103302,1526906113.370001
LAMOTRIGINE ODT,60,415329.44
PROTONIX IV,62,89848.98
NYAMYC,5164,4706178.999999976
CAMPRAL,1,1253.89
LOMOTIL,24,62216.25
PRED FORTE,269,1615216.3099999994
LEVOTHYROXINE SODIUM,226737,765369145.5300009
SOMAVERT,81,12327391.389999997
NADOLOL,15197,31234409.91999992
AVIANE,272,58351.380000000005
BICILLIN C-R,13,108410.67000000001
PALIPERIDONE ER,356,4631791.810000003
PAPAVERINE HCL,30,26592.859999999997
RESTASIS,26757,676692298.6700006
TYBOST,19,53135.490000000005
METHYLPHENIDATE SR,10,9056.75
NIFEDIPINE,261,287855.02
SAMSCA,143,14044484.19
MEPERIDINE HCL,702,667918.3300000003
CARBIDOPA-LEVODOPA,46139,81688629.14000046
ENALAPRIL MALEATE,87368,106876144.74000059
VIVELLE-DOT,1555,3372198.070000005
IRBESARTAN,38642,30619448.009999823
TRADJENTA,29912,394874198.7000026
OTREXUP,98,1080090.0300000003
USTELL,2,3580.15
PULMOZYME,16,843903.3899999999
DENTA 5000 PLUS,640,81883.33000000003
GLYNASE,4,6609.05
LEVOCETIRIZINE DIHYDROCHLORIDE,22214,17018990.089999907
CIPRO HC,18,62573.82
LOPRESSOR,6,20925.69
TOLAK,1,1688.63
ORTHO-NOVUM,7,4229.77
LUMIGAN,24981,402586964.54999816
MEROPENEM-0.9% NACL,5,14564.79
NITROSTAT,50048,32373089.880000025
ROBINUL,1,383.42
DILT-XR,12418,9099651.909999926
CYMBALTA,3130,14570253.769999957
ESTARYLLA,1,302.04
HUMIRA,3034,293043137.74
PREDNISOLONE SODIUM PHOSPHATE,237,223112.05999999982
ROCALTROL,194,328322.78000000014
KORLYM,20,6218343.159999999
SODIUM CHLORIDE,6470,3867480.970000006
BD INSULIN SYRINGE ULT-FINE II,1,302.87
PROLIA,3228,87620678.02000013
AVONEX,2182,236227484.72000033
FURADANTIN,1,14098.17
NARDIL,46,97735.93000000002
GLUCOTROL,35,45246.99
DEXTROSE IN LACTATED RINGERS,20,19492.0
IMITREX,195,2212350.2699999996
ATELVIA,1991,13611734.629999993
SEMPREX-D,39,134346.56000000003
AMPICILLIN TRIHYDRATE,2735,410459.93
ROBAXIN-750,11,40486.69
TEGRETOL,1897,6833786.940000003
BROMFED DM,1,4385.8
ZOLMITRIPTAN,715,1261232.5399999998
CAMILA,162,39149.12999999999
PROCYSBI,8,6570001.31
FLUOXETINE HCL,133253,89873780.46000063
BUPROPION XL,75997,115511642.78000097
MOMETASONE FUROATE,9334,5695138.899999981
XANAX,861,3995919.0400000005
ZIPSOR,92,764516.0900000001
PERCOCET,933,20571949.640000034
VIAGRA,2134,23210469.540000025
LAZANDA,13,2681938.01
MONOJECT INSULIN SYRINGE,1010,686242.7199999997
METIPRANOLOL,28,15358.210000000001
URELLE,1,3445.05
FERREX 150 FORTE,1,88.64
TENORETIC 100,5,6518.21
ZELAPAR,53,2533680.730000001
TIVICAY,2959,194038844.19999972
PERIOGARD,102,14025.24
ORACIT,7,2446.77
KERYDIN,108,2070961.3700000006
NORITATE,7,124022.37
BECONASE AQ,89,314814.4499999999
CABERGOLINE,1679,4629849.340000001
REMODULIN,6,1690321.4999999998
LOTENSIN,45,42171.96
MIRAPEX ER,393,3914881.6000000015
AFEDITAB CR,1253,591986.8500000001
VASCEPA,3369,33790956.34999995
ADDERALL XR,694,3615626.0699999994
KETEK,1,4023.94
CLOMIPRAMINE HCL,4444,47610103.73000015
MAXALT MLT,99,607814.3200000001
CAMBIA,130,1216263.4200000002
VENLAFAXINE HCL,29062,21775103.6899998
ROWASA,2,39115.61
OFEV,793,139101906.20000002
FOSAMAX PLUS D,208,414611.74000000017
MERCAPTOPURINE,2515,5904384.369999984
RITALIN,194,345822.86
MAXZIDE,45,58937.500000000015
HYDROMET,14,8393.620000000003
KUVAN,52,15307576.679999994
EPIVIR,269,643194.5199999997
AVEED,2,22992.27
APLENZIN,74,2179466.2600000002
OPANA,25,440359.9700000001
CYCLOSET,274,2456700.5100000002
COZAAR,800,1475197.4300000006
MINIPRESS,2,2013.51
VIMIZIM,1,1416815.3
CLINDAMYCIN PHOSPHATE-D5W,6,5321.459999999999
